proper,ra,dec,dist,mag,absmag,x,y,z,lum
Alnilam,5.603559,-1.201920,606.0606,1.690,-7.223,62.775122,602.666910,-12.712683,67483.87308707573
Phakt,5.660817,-34.074108,80.1282,2.650,-1.869,5.885917,66.110037,-44.893180,487.07966649253666
Alnitak,5.679313,-1.942572,225.7336,1.740,-5.028,18.918488,224.809409,-7.651875,8937.169608501978
Saiph,5.795941,-9.669605,198.4127,2.070,-4.418,10.444137,195.314937,-33.326707,5095.654806081146
Betelgeuse,5.919529,7.407063,152.6718,0.450,-5.469,3.189296,151.364387,19.682142,13415.28798266127
Menkalinan,5.992149,44.947433,24.8694,1.900,-0.078,0.036195,17.601288,17.569058,93.58365435835302
Red Rectangle,6.332838,-10.637414,440.5286,8.850,0.630,-37.678828,431.315480,-81.318571,48.75284901033863
Mirzam,6.378329,-17.955918,151.0574,1.980,-3.916,-14.209731,142.995999,-46.568852,3209.223768048436
Canopus,6.399195,-52.695660,94.7867,-0.620,-5.504,-5.992679,57.132034,-75.396105,13854.791675667215
Alhena,6.628528,16.399252,33.5121,1.930,-0.696,-5.266162,31.714389,9.461403,165.34840121711517
Sirius,6.752481,-16.716116,2.6371,-1.440,1.454,-0.494323,2.476731,-0.758485,22.824433121735034
Adhara,6.977097,-28.972084,124.2236,1.500,-3.971,-27.497987,105.141608,-60.171969,3375.981048554255
Wezen,7.139857,-26.393200,492.6108,1.830,-6.633,-129.733458,421.761488,-218.979855,39192.232245497704
Aludra,7.401584,-29.303104,609.7561,2.450,-6.476,-190.762166,496.337122,-298.432917,33915.6386905822
Gomeisa,7.452512,8.289315,49.5786,2.890,-0.586,-18.209817,45.556204,7.147858,149.41699574067007
Luyten's Star,7.456805,5.225785,3.8026,9.840,11.940,-1.409549,3.514856,0.346358,0.0014588142602753474
Castor,7.576634,31.888276,15.5958,1.580,0.615,-5.311938,12.130011,8.238737,49.43106869868354
Procyon,7.655033,5.224993,3.5142,0.400,2.671,-1.469312,3.176170,0.320024,7.4404636619191935
Pollux,7.755277,28.026199,10.3584,1.160,1.084,-4.055465,8.195180,4.867171,32.09223768048434
Naos,8.059737,-40.003148,332.2259,2.210,-5.397,-130.674899,218.376203,-213.564535,12554.51673687138
Avior,8.375236,-59.509483,185.5288,1.860,-4.482,-54.837080,76.515238,-159.872623,5405.053537086696
Miaplacidus,9.220041,-69.717208,34.6981,1.670,-1.032,-8.980712,8.001552,-32.546536,225.32013356294826
Tureis,9.284838,-59.275229,234.7418,2.210,-4.643,-90.887872,78.251756,-201.791538,6269.024974761646
Alphard,9.459790,-8.658603,55.2792,1.990,-1.723,-43.003468,33.722848,-8.322089,425.7944535825967
Ras Elased Australis,9.764188,23.774255,75.6430,2.970,-1.424,-57.700126,38.244772,30.494289,323.2957533680941
Regulus,10.139532,11.967207,24.3132,1.360,-0.569,-21.018857,11.132218,5.041397,147.09570767969763
Algieba,10.332873,19.841489,39.8883,2.010,-0.994,-34.002797,15.860719,13.538740,217.57049509257934
Merak,11.030677,56.382427,24.4499,2.340,0.399,-13.103033,3.398358,20.360601,60.311481961781745
Lalande 21185,11.055632,35.969877,2.5469,7.490,10.460,-1.998000,0.504305,1.495504,0.0057016427228074665
Dubhe,11.062155,61.751033,37.6790,1.810,-1.070,-17.298705,4.334880,33.191332,233.3458062281002
Zosma,11.235138,20.523717,17.9147,2.560,1.294,-16.442201,3.337108,6.280742,26.448436268543603
Denebola,11.817663,14.572060,10.9999,2.140,1.933,-10.633926,0.508011,2.767546,14.682499678319866
Groombridge 1830,11.882820,37.718679,9.0917,6.420,6.627,-7.187679,0.220247,5.561623,0.194625615936124
Phad,11.897168,53.694760,25.5037,2.410,0.377,-15.094867,0.406425,20.552678,61.54602373713163
Megrez,12.257086,57.032617,24.6853,3.320,1.358,-13.402309,-0.903455,20.710384,24.9344618809783
Gienah Ghurab,12.263437,-17.541929,47.1032,2.580,-0.785,-44.805937,-3.095058,-14.197066,179.47336268325265
Acrux,12.443311,-63.099092,98.7167,0.770,-4.202,-44.363755,-5.171957,-88.034513,4176.379929509739
3C 273,12.485193,2.052398,100000.0000,12.880,-7.120,-99130.706060,-12660.058622,3581.344963,61376.20051647933
Algorab,12.497739,-16.515432,26.6312,2.940,0.813,-25.316094,-3.317674,-7.570570,41.19077848677376
Gacrux,12.519429,-57.113212,27.1518,1.590,-0.579,-14.606901,-1.998688,-22.800748,148.45676750522713
Kraz,12.573121,-23.396759,44.6628,2.650,-0.600,-40.529889,-6.127261,-17.735390,151.3561248436207
Porrima,12.694345,-1.449375,11.6850,2.740,2.402,-11.488622,-2.111702,-0.295552,9.532350439205146
Becrux,12.795359,-59.688764,85.3971,1.250,-3.407,-42.168771,-8.909619,-73.723149,2008.1678041839857
Alioth,12.900472,55.959821,25.3100,1.760,-0.256,-13.775959,-3.309169,20.972944,110.25543321022239
Cor Caroli,12.933807,38.318380,35.1989,2.890,0.157,-26.795114,-6.684223,21.824384,75.37025766884257
Vindemiatrix,13.036278,10.959150,33.6022,2.850,0.218,-31.782664,-8.840495,6.388060,71.25248247522671
Mizar,13.398747,54.925362,26.3089,2.230,0.129,-14.115808,-5.413302,21.531272,77.33925780489973
Spica,13.419883,-11.161322,76.5697,0.980,-3.440,-69.990853,-27.285826,-14.821760,2070.1413487910413
Alcor,13.420413,54.987958,25.0564,3.990,1.995,-13.393436,-5.223608,20.521915,13.867558288718882
Alkaid,13.792354,49.313265,31.8674,1.850,-0.667,-18.529548,-9.394541,24.164506,160.99040762157054
Mufrid,13.911411,18.397717,11.3960,2.680,2.396,-9.487671,-5.188142,3.596709,9.585173976856456
Hadar,14.063729,-60.373039,120.1923,0.610,-4.789,-50.954051,-30.562870,-104.478695,7171.33482657721
